feature,importance
rameduc_m,8281481.849084472
mental_activity_score_12,5302563.768450928
j11_12,5270723.358764648
hincome_12,4519634.525250244
social_score_12,3632145.2497436525
reads_12,3581878.108239746
rrfcntx_m_12,3437953.145574951
health_score_12,2614952.3025146485
rafeduc_m,2386635.8578369142
insured_03,2384856.322363281
rjob_hrswk_12,2370893.149822998
rsocact_m_12,2174401.142327881
total_income_03,1827553.0714416504
hincome_03,1710040.906286621
total_income_12,1650121.070562744
n_depr_12,1346743.4830200195
hincome_change,1232590.5737121582
memory_12,1203489.230432129
n_depr_03,1092745.2118164063
rearnings_12,997604.7703552246
rjob_hrswk_03,986321.0231445313
n_depr_pct_change,981345.2014709472
games_12,921408.8716918945
hincome_pct_change,913502.1746032715
health_score_03,865162.3309509277
activity_score_12,819280.0167053223
care_child_12,816722.9764038086
sewing_12,782936.3690246582
rjob_end_12,776354.5993469239
cosas_imp_12,774379.1148925781
rinc_pension_03,690260.1324768066
wouldnt_change_12,668618.9403503418
insurance_coverage_03,659107.2389648438
rinc_pension_12,649856.2659118653
rearnings_03,646779.0850891114
satis_fine_12,638656.2828186036
satis_excel_12,632751.5937438965
hard_12,611202.0693603515
hard_03,594967.159173584
pension_ratio_03,573291.2810058594
n_depr_change,569334.2962280273
visit_med_03_numeric,559690.2835571289
visit_dental_12,548343.5711120606
test_chol_12,543883.9483154297
exer_3xwk_12,542621.3721374512
seg_pop_12,538932.6786254883
decis_personal_03,491549.44482421875
act_mant_12,486066.1807739258
visit_dental_03,483469.87235107424
imss_03,463538.40217285155
activity_score_03,446336.1620727539
healthcare_utilization_12,446149.70297851565
satis_ideal_12,445934.0710876465
restless_12,444658.58653564454
searnings_12,436615.4963806152
ragender,434832.2546386719
searnings_03,424607.50919189455
n_illnesses_12,414154.9443786621
test_chol_03,408657.76001586916
vax_flu_12,400919.1678039551
hypertension_03,390043.12888183596
imss_12,388624.3854553223
vax_pneu_12,384597.5713684082
rrelgwk_12,381559.3633544922
pension_ratio_12,380493.5456970215
tv_12,370598.73453369143
reads_12_numeric,364033.69189453125
energetic_12,363808.3648376465
hinc_cap_change,363665.6113952637
hypertension_12,360928.4313232422
healthcare_utilization_03,359393.46661987307
arthritis_03,357051.8433654785
care_adult_12,353845.009185791
energetic_03,350974.64522705076
diabetes_12,350575.50836791995
alcohol_12,347959.39010009763
rjob_end_03,345215.9395202637
n_illnesses_change,332807.02869873046
n_mar_12,329383.5540405273
test_tuber_03,328344.2833251953
rinc_pension_change,323346.16423339845
lonely_03,318485.1846679688
restless_03,318055.0272338867
tired_12,311033.48552856443
income_sources_12,309995.2362976074
comms_tel_comp_12,306906.76666259766
rjob_hrswk_pct_change,305769.4837890625
energetic_change,305041.1468139648
rearnings_change,297903.15771484375
exer_3xwk_change,297741.1306274414
insured_change,285853.7857788086
table_games_12,281656.134753418
hinc_cap_12,280247.0036437988
exer_3xwk_03,279120.41275024414
sad_12,272064.21919555665
