feature,importance
edu_gru_12,39517272.22546387
age_12,6873072.425854492
social_engagement_score,4775319.4528686525
social_economic_interaction,4439560.2817932125
age_03,3831175.790942383
health_status_score,3109358.5777038573
economic_stability_score,3082782.448754883
hincome_change,2401239.7288757325
bmi_12,2355944.1125305174
rjlocc_m_12,2263959.1006591795
hincome_03,2245251.761907959
cognitive_activity_score,2075943.0173339844
hincome_12,2053450.021020508
edu_gru_03,2007340.3106933595
rrfcntx_m_12,1960765.564337158
n_depr_change,1879257.1137817383
j11_12,1681297.2897705077
reads_12,1673977.4372802735
rameduc_m,1568326.1973510743
n_depr_12,1504970.3266845704
n_depr_03,1435975.5354492187
n_living_child_12,1381276.7948608398
rsocact_m_12,1247849.6439331055
bmi_03,1220287.0816894532
rafeduc_m,1153827.5599243164
rjob_hrswk_12,989624.2376220704
n_illnesses_change,919117.6228759766
games_12,871240.8162719726
a34_12,216133.40128173828
age_health_interaction,0.0
edu_cognitive_interaction,0.0
