feature,importance
edu_gru_12,118255527.92294674
age_12,26306663.878494263
social_engagement_score,25747891.430506133
social_economic_interaction,23528949.692769863
health_status_score,16006579.876972055
age_03,15879275.12696457
edu_gru_03,15589787.347738648
economic_stability_score,15048235.464977836
hincome_change,13343530.50857544
hincome_12,12247314.30746441
cognitive_activity_score,11665872.231266785
rjlocc_m_12,10962725.259801865
hincome_03,10601491.509608746
reads_12,10425765.932731628
n_depr_change,9951822.12094288
rrfcntx_m_12,9951387.010714721
rameduc_m,9619946.513961792
n_living_child_12,9417564.995012665
bmi_12,9379631.854026794
n_depr_12,9153150.282013511
j11_12,8526067.43820877
n_depr_03,8269371.71102562
rsocact_m_12,7866878.32828598
rafeduc_m,6402095.578471375
bmi_03,5764950.44667511
rjob_hrswk_12,5378980.759886933
n_illnesses_change,4958845.198220635
games_12,3446347.426871681
a34_12,1439811.9022109986
age_health_interaction,0.0
edu_cognitive_interaction,0.0
