feature,importance
edu_gru_12,170804239.2404419
age_12,34919151.57305908
social_engagement_score,31278025.208477784
social_economic_interaction,25840304.39384613
age_03,19701293.74494629
health_status_score,19356386.129411317
economic_stability_score,16658372.453217316
edu_gru_03,15740165.608398438
hincome_change,15514586.504285049
hincome_12,13714568.947135925
cognitive_activity_score,13377940.587545777
rjlocc_m_12,12522609.704187011
rrfcntx_m_12,12436366.996994019
bmi_12,12297245.381646728
hincome_03,12058159.595038224
n_depr_change,11151497.713568116
n_depr_12,10927032.985791016
reads_12,10860108.37744751
rameduc_m,10107414.477783203
j11_12,10105639.752380371
n_living_child_12,9765373.884613037
n_depr_03,9675837.32515564
rsocact_m_12,8511264.437356567
rafeduc_m,7497087.46329155
bmi_03,6654309.098950195
rjob_hrswk_12,5921940.258120728
n_illnesses_change,5913685.317572022
games_12,4475430.294348145
a34_12,1662993.6846313477
age_health_interaction,0.0
edu_cognitive_interaction,0.0
