feature,importance
edu_gru_12,100027410.1886547
edu_gru_03,25990471.010175325
age_12,20976022.384942748
age_03,14328712.282448625
hincome_12,11681142.672295833
hincome_03,11067010.217382241
rrfcntx_m_12,10911066.037140656
n_living_child_12,10679991.858494092
reads_12,9162827.15291519
rameduc_m,8880000.097253418
rjlocc_m_12,8738942.148293912
j11_12,8571989.118049908
rsocact_m_12,8450717.789146353
n_depr_12,7275121.68384285
n_living_child_03,5439101.670649052
bmi_12,5388800.5154888155
games_12,5376275.707783508
rjob_hrswk_12,5343835.4104324635
n_depr_03,5264901.784973097
rafeduc_m,4784363.376475501
glob_hlth_12,4304348.020493698
employment_12,3986617.5270896913
rjob_hrswk_03,3916845.883736229
memory_12,3506054.983693314
sewing_12,3460457.5285100937
n_illnesses_12,3108269.1971429824
rinc_pension_12,2914918.4811750413
urban_12,2672561.007598877
married_12,2566997.7445900915
care_child_12,2491703.7389709475
rearnings_03,2245975.8876852035
wouldnt_change_12,2237779.9905792237
n_iadl_12,2224276.7476219176
satis_excel_12,2175887.296428299
n_illnesses_03,2074081.4274326325
glob_hlth_03,2055352.0538269044
rinc_pension_03,2035261.6652366638
imss_12,1981633.1855342865
hinc_cap_03,1919884.0294731497
rjob_end_12,1916569.001609993
table_games_12,1909534.7032440186
exer_3xwk_12,1905231.1013129712
hinc_business_03,1838282.8935840607
hard_12,1815401.1054168702
rrelgimp_12,1803293.1855392456
diabetes_12,1769491.930218506
act_mant_12,1763634.004404831
visit_dental_12,1760395.9284139634
rearnings_12,1738284.202043152
rrelgwk_12,1710015.285472989
married_03,1694384.6878547668
decis_famil_12,1655297.550592041
employment_03,1642518.4886244298
cosas_imp_12,1631165.614567566
bmi_03,1599396.6139015197
insured_03,1591251.823958397
test_chol_12,1579974.2366760254
satis_ideal_12,1533380.4358605384
searnings_03,1527833.7760673524
comms_tel_comp_12,1503173.2581542968
decis_personal_12,1501185.199255371
seg_pop_12,1480816.0743515014
sinc_pension_12,1462370.886421585
urban_03,1386607.6416617394
vax_pneu_12,1355106.5630962371
visit_dental_03,1344698.9060241699
hinc_cap_12,1317555.3620465756
energetic_12,1301970.508676529
vax_flu_12,1280042.6377027035
n_adl_12,1266111.7710464478
restless_12,1252947.0395446778
imss_03,1146785.1623291015
exer_3xwk_03,1129424.6763153076
sinc_pension_03,1122617.9848495484
tv_12,1119591.597229004
hard_03,1117931.804699707
rjob_end_03,1084883.7497283935
n_mar_12,1077459.4974878312
searnings_12,1074680.1830316545
tired_12,1029390.1767113686
hypertension_12,1012963.549035263
rjobend_reason_12,1004204.5413482666
hypertension_03,991802.0657331466
satis_fine_12,987128.8427032471
test_chol_03,986380.4289123535
rjlocc_m_03,978465.7728088379
alcohol_12,976868.2274068833
decis_famil_03,963473.3529907226
depressed_12,950432.4056999206
happy_12,934535.502166748
test_diab_12,932949.3658203125
hinc_business_12,925703.6371033669
arthritis_12,924460.3209686279
sgender_12,867300.3447662353
test_tuber_03,857540.641079712
rrelgimp_03,819102.2141654969
ragender,803626.6649014472
test_pres_12,786941.7201568603
volunteer_12,784113.6762573242
care_adult_12,776914.5120742798
tired_03,763847.7588938713
energetic_03,763334.0349327087
depressed_03,750799.7095230103
sad_03,745824.7602695465
test_tuber_12,742137.1904296875
lonely_12,723114.0477798462
visit_med_12,709923.0024360657
enjoy_12,709717.8419876099
sad_12,691794.7363861084
alcohol_03,685670.1735360384
attends_class_12,684810.8471191407
decis_personal_03,639966.313494873
restless_03,637923.293888092
visit_med_03,621495.4872951508
arthritis_03,617605.0411289216
enjoy_03,617091.6663124084
iadl_shop_12,611757.0091064454
sgender_03,603585.2295021057
diabetes_03,602039.1365112305
insured_12,600658.1036956788
adl_walk_12,599800.8360061646
test_diab_03,572277.0200271606
test_pres_03,549435.9426750183
issste_12,496173.9055511475
lonely_03,477253.1721572876
tobacco_03,469026.27825927734
happy_03,456895.27626190183
migration_12,452163.6563476563
hosp_12,443947.38016357424
iadl_meals_12,430719.4198791504
n_mar_03,367723.0121765137
attends_club_12,345935.2814697266
rjobend_reason_03,345398.85946655273
tobacco_12,344938.99846801755
stroke_12,304491.02078857424
issste_03,302933.2591888428
adl_toilet_12,301301.5075378418
adl_dress_12,297295.31513061526
hinc_assets_03,291414.4111999512
cesd_depressed_12,277498.0166168213
hinc_rent_12,255466.5835571289
adl_bed_12,251288.2625732422
cesd_depressed_03,202218.97649536133
resp_ill_12,188994.07570800782
resp_ill_03,169384.16548461915
migration_03,168813.69772949218
hinc_assets_12,161044.92139892577
a34_12,155602.7230957031
hosp_03,133277.06462402345
insur_private_12,129305.49854736328
hinc_rent_03,111804.7953552246
iadl_shop_03,111355.1923828125
n_iadl_03,109018.74675292968
iadl_meds_12,97127.77708740234
out_proc_12,95364.00012817382
n_adl_03,94672.08778686523
pem_def_mar_12,94544.04343261718
adl_bath_12,93539.48619995118
iadl_money_12,75644.00587158203
hrt_attack_12,59337.32131958008
adl_walk_03,59282.89301757813
insur_private_03,47583.293005371095
insur_other_12,47380.81080322266
insur_other_03,47300.834997558595
cancer_12,44382.04653320312
adl_eat_12,40673.83623046875
adl_bed_03,35544.89866943359
cancer_03,32949.671423339845
adl_dress_03,27032.72342529297
stroke_03,16749.88985595703
hrt_attack_03,15693.00831298828
out_proc_03,14489.628149414062
pem_def_mar_03,10335.681420898438
iadl_meals_03,5868.718493652344
a21_12,2621.670361328125
adl_toilet_03,1284.877978515625
adl_bath_03,473.683203125
a33b_12,0.0
iadl_meds_03,0.0
